date;well_id;drilling_depth;drilling_speed;well_temperature;drilling_success;daily_oil_production;daily_gas_production
01/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8352.41 feet;42.04 feet/hour;135.24 °C;1;5249.935 barrels/day;5468.664 cubic feet/day
02/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5774.25 feet;42.96 feet/hour;97.66 °C;0;3695.4 barrels/day;3953.42 cubic feet/day
03/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4815.45 feet;51.21 feet/hour;99.11 °C;1;3259.092 barrels/day;3529.442 cubic feet/day
04/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4946.49 feet;79.24 feet/hour;60.27 °C;1;3345.738 barrels/day;3408.38 cubic feet/day
05/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4723.77 feet;62.42 feet/hour;257.44 °C;1;3214.31 barrels/day;2989.63 cubic feet/day
06/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7927.47 feet;48.27 feet/hour;195.06 °C;1;5091.28 barrels/day;4984.414 cubic feet/day
07/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6366.17 feet;77.55 feet/hour;30.76 °C;1;4224.882 barrels/day;4276.979 cubic feet/day
08/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6579.34 feet;41.79 feet/hour;109.82 °C;0;4164.696 barrels/day;4462.824 cubic feet/day
09/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9039.39 feet;68.71 feet/hour;268.64 °C;1;5820.778 barrels/day;5589.587 cubic feet/day
10/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5058.12 feet;73.58 feet/hour;254.58 °C;1;3433.681 barrels/day;3237.258 cubic feet/day
11/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8288.85 feet;70.45 feet/hour;212.56 °C;0;5245.672 barrels/day;5095.915 cubic feet/day
12/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8020.07 feet;71.38 feet/hour;40.07 °C;1;5213.712 barrels/day;5262.552 cubic feet/day
13/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6015.6 feet;48.64 feet/hour;79.58 °C;1;3951.988 barrels/day;3965.284 cubic feet/day
14/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5480.71 feet;43.88 feet/hour;159.07 °C;0;3503.426 barrels/day;3878.225 cubic feet/day
15/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8716.6 feet;57.53 feet/hour;190.77 °C;0;5468.195 barrels/day;5873.809 cubic feet/day
16/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5465.33 feet;43.87 feet/hour;121.82 °C;0;3513.204 barrels/day;3820.835 cubic feet/day
17/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3329.96 feet;48.44 feet/hour;204.76 °C;1;2366.385 barrels/day;2207.273 cubic feet/day
18/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5404.03 feet;73.72 feet/hour;81.77 °C;1;3607.614 barrels/day;3607.309 cubic feet/day
19/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6684.31 feet;42.74 feet/hour;271.77 °C;1;4329.208 barrels/day;4124.884 cubic feet/day
20/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5277.0 feet;73.15 feet/hour;176.91 °C;1;3546.953 barrels/day;3958.462 cubic feet/day
21/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6994.38 feet;66.77 feet/hour;236.14 °C;1;4568.952 barrels/day;4391.092 cubic feet/day
22/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5703.04 feet;40.55 feet/hour;173.32 °C;0;3649.145 barrels/day;4020.245 cubic feet/day
23/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5088.6 feet;42.5 feet/hour;226.23 °C;0;3269.717 barrels/day;3098.333 cubic feet/day
24/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2917.69 feet;63.22 feet/hour;59.74 °C;1;2132.078 barrels/day;2145.598 cubic feet/day
25/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6143.12 feet;78.56 feet/hour;49.43 °C;0;3960.329 barrels/day;3984.638 cubic feet/day
26/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5613.39 feet;46.48 feet/hour;26.35 °C;0;3588.052 barrels/day;3654.508 cubic feet/day
27/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4877.95 feet;47.57 feet/hour;88.58 °C;0;3140.274 barrels/day;3138.487 cubic feet/day
28/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7377.27 feet;40.7 feet/hour;83.91 °C;1;4750.996 barrels/day;4776.948 cubic feet/day
29/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6864.32 feet;47.75 feet/hour;193.8 °C;0;4344.938 barrels/day;4773.509 cubic feet/day
30/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6211.25 feet;58.61 feet/hour;154.98 °C;0;3978.578 barrels/day;4317.711 cubic feet/day
31/01/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2821.68 feet;61.64 feet/hour;197.61 °C;0;1953.956 barrels/day;1803.413 cubic feet/day
01/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5234.52 feet;53.59 feet/hour;27.83 °C;0;3393.009 barrels/day;3436.154 cubic feet/day
02/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2940.15 feet;71.21 feet/hour;221.49 °C;0;2042.114 barrels/day;1861.16 cubic feet/day
03/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9216.8 feet;60.15 feet/hour;242.43 °C;0;5784.542 barrels/day;5591.431 cubic feet/day
04/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6703.28 feet;50.99 feet/hour;217.96 °C;0;4271.496 barrels/day;4094.122 cubic feet/day
05/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3192.85 feet;63.56 feet/hour;274.23 °C;0;2160.435 barrels/day;1949.091 cubic feet/day
06/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2910.14 feet;45.15 feet/hour;56.09 °C;0;1962.311 barrels/day;2009.76 cubic feet/day
07/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6949.1 feet;63.97 feet/hour;160.21 °C;0;4432.225 barrels/day;4789.011 cubic feet/day
08/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8496.97 feet;56.43 feet/hour;264.85 °C;1;5466.189 barrels/day;5238.066 cubic feet/day
09/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3670.93 feet;59.39 feet/hour;91.53 °C;2;nan barrels/day;2569.006 cubic feet/day
10/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8739.77 feet;68.05 feet/hour;150.33 °C;0;5485.044 barrels/day;5874.65 cubic feet/day
11/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7101.27 feet;70.92 feet/hour;116.24 °C;0;4531.224 barrels/day;12739.601 cubic feet/day
12/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7778.85 feet;67.27 feet/hour;161.16 °C;0;4929.789 barrels/day;5313.038 cubic feet/day
