Date,symbol,open,close,high,low,volume
2013-03-31,btcusd,92.5,93.033,93.74999,91.0,3083.07979075
2013-04-01,btcusd,93.25,103.999,105.9,92.49999,5224.40131297
2013-04-02,btcusd,104.0,118.22935407,118.3867,99.0,8376.52747811002
2013-04-03,btcusd,117.95826131,134.7,146.88,101.51088,12996.2450721801
2013-04-04,btcusd,134.71656,132.899,143.0,119.0,6981.66830544001
2013-04-05,btcusd,130.10001,142.3,145.0,128.25,5234.88220325001
2013-04-06,btcusd,142.8,143.05,144.0,139.0,2009.12862494
2013-04-07,btcusd,143.5,162.304,164.75,142.75,3725.06764496
2013-04-08,btcusd,163.9,186.985,194.57,163.2,10895.82741442
2013-04-09,btcusd,186.8,232.99,249.97,186.8,6073.37314608
2013-04-10,btcusd,228.669,162.0,290.0,19.9,16070.6427442701
2013-04-11,btcusd,162.0,100.0,205.0,1.06,16914.6563150801
2013-04-12,btcusd,109.0,112.0,157.0,51.0,38693.9553043196
2013-04-13,btcusd,112.0,91.1,130.0,81.12,23866.6770456
2013-04-14,btcusd,91.1,90.171,109.0,20.0,16437.2196645
2013-04-15,btcusd,89.86,83.302,104.0,71.497,16393.12856398
2013-04-16,btcusd,84.27,67.588,84.48,0.01,26092.5432296
2013-04-17,btcusd,68.135,93.063,98.9,63.5,20016.46738673
2013-04-18,btcusd,93.0,111.3,114.0,87.0,8362.10465509001
2013-04-19,btcusd,110.0,119.0,142.0,104.56,20883.2511054899
2013-04-20,btcusd,119.02,127.0,132.0,114.9,6502.71927697004
2013-04-21,btcusd,127.01,117.618,130.0,110.0,11539.05619005
2013-04-22,btcusd,119.96,126.5,127.3,119.615,7053.39711668
2013-04-23,btcusd,127.389,143.484,144.47,124.859,11566.57797156
2013-04-24,btcusd,142.41,154.6,166.99,140.9,25884.62525415
2013-04-25,btcusd,155.0,141.9,169.13,120.03,21589.72100785
2013-04-26,btcusd,142.89,137.3,143.985,13.0,13279.17946705
2013-04-27,btcusd,136.56001,128.5,147.51,121.46,7773.99732283001
2013-04-28,btcusd,128.8,135.28,136.99,128.02,7222.09008288002
2013-04-29,btcusd,134.63,144.0,148.5,113.42,9491.69208741002
2013-04-30,btcusd,143.89,139.88,146.6752,133.89,10916.4540109801
2013-05-01,btcusd,139.87,116.0,140.02,105.0,23869.0625977401
2013-05-02,btcusd,116.75,106.6,127.18,90.414,29911.7420357899
2013-05-03,btcusd,107.0,98.06,108.21,80.0,32551.0515293098
2013-05-04,btcusd,98.5,112.5,115.959,93.356,15470.5403185301
2013-05-05,btcusd,112.3,116.57,126.0,100.0,13363.7807084401
2013-05-06,btcusd,116.587,112.0,124.3,106.0,12263.0308212001
2013-05-07,btcusd,112.1,110.0,113.44,98.0,15053.73044354
2013-05-08,btcusd,109.76,113.5,116.98,108.5,8804.37823946003
2013-05-09,btcusd,113.495,112.669,113.5,108.23,3991.56786689
2013-05-10,btcusd,112.653,117.87,122.5,111.4,7579.66383688002
2013-05-11,btcusd,117.92,115.576,118.9,112.72,3841.93708681
2013-05-12,btcusd,115.58,114.3,118.0,113.0,2745.73340774
2013-05-13,btcusd,115.97,117.979,118.97,114.07,2590.84616000999
2013-05-14,btcusd,117.811,111.551,119.85,105.2,9787.13803173999
2013-05-15,btcusd,110.7,108.95,117.0,103.45,9324.26007941004
2013-05-16,btcusd,108.98,115.0,115.2,108.2,4796.42398125
2013-05-17,btcusd,115.0,117.62,122.0,112.35,5107.8367596
2013-05-18,btcusd,117.51,118.52,118.98,115.81001,2168.44858122
2013-05-19,btcusd,118.23,118.25,120.99,115.61,1327.45239545
2013-05-20,btcusd,118.23,118.09,118.94,116.0,881.057857620001
2013-05-21,btcusd,116.9,117.0,118.6,116.9,1897.54839262
2013-05-22,btcusd,117.9,119.11,120.0,117.0,2360.34984014
2013-05-23,btcusd,118.45,123.83,124.25,118.41,4024.65733015
2013-05-24,btcusd,123.84,128.7,130.0,122.4,7965.53671446005
2013-05-25,btcusd,128.61,128.97,129.73,125.1,2715.80561304
2013-05-26,btcusd,128.97,130.24,133.0,128.0,2883.23013612999
2013-05-27,btcusd,130.27,126.25,130.59,123.0,3535.31536517
2013-05-28,btcusd,125.0,125.5,127.0,123.0,2584.01718862999
2013-05-29,btcusd,126.06,130.35,140.68,125.67,3558.61656252
2013-05-30,btcusd,130.35,126.7,131.0,124.15,4729.10265707
2013-05-31,btcusd,126.78,127.9,129.1,125.06,2267.47870654
2013-06-01,btcusd,127.73,128.77,129.0,127.0,815.111739319999
2013-06-02,btcusd,128.77,123.8,132.65,117.0,11892.97161185
2013-06-03,btcusd,123.41,123.1,132.87,117.0,4750.35164634001
2013-06-04,btcusd,123.22,120.43,123.99,116.42,5195.53171193999
2013-06-05,btcusd,120.3,121.19,122.37,119.6,1435.87228074
2013-06-06,btcusd,121.33,119.28,121.33,118.0,1260.70737532
2013-06-07,btcusd,118.4,111.07,119.0,107.0,9638.20980937
2013-06-08,btcusd,110.17,109.13,112.5,108.45,1943.22231781998
2013-06-09,btcusd,108.99,100.0,110.0,89.9,15769.8720150199
2013-06-10,btcusd,100.0,104.18,108.0,93.0,9456.96656614999
2013-06-11,btcusd,104.68,107.36,108.03,103.4,3419.50826205
2013-06-12,btcusd,107.07,106.68,119.0,105.0,4657.07381088
2013-06-13,btcusd,106.28,102.0,109.14,95.0,5813.81744085001
2013-06-14,btcusd,101.86,99.0,107.36,97.0,5295.67898359999
2013-06-15,btcusd,99.01,99.42,104.0,96.22,2397.84888941
2013-06-16,btcusd,99.43,99.0,101.1,98.66,1192.21017157
2013-06-17,btcusd,99.0,100.49,101.01,98.3,1286.44020787
2013-06-18,btcusd,100.39,104.12,108.5,99.99,6069.10417773999
2013-06-19,btcusd,104.49,104.99,107.5,102.99,2830.34656024
2013-06-20,btcusd,104.83,104.55,108.0,102.38,5580.15645347
2013-06-21,btcusd,103.0,101.29,105.0,91.0,5584.19399546001
2013-06-22,btcusd,101.29,100.23,102.4,98.49,1390.41839215
2013-06-23,btcusd,100.0,100.4,101.5,98.6,796.29810476
2013-06-24,btcusd,100.4,98.68,102.13,95.38,2801.04700209
2013-06-25,btcusd,99.35,97.58,100.9,97.5,3395.16434416
2013-06-26,btcusd,98.5,98.69,100.0,96.99,1466.12790174
2013-06-27,btcusd,98.01,96.31,98.72,96.31,1085.47473304
2013-06-28,btcusd,96.31,89.79,96.52,88.01,7594.03228208003
2013-06-29,btcusd,89.2,88.8,91.6,86.15,1766.18636145999
2013-06-30,btcusd,88.53,89.55,90.25,88.26,525.54269882
2013-07-01,btcusd,89.58,83.5,91.56,1.0,10021.30520817
2013-07-02,btcusd,83.51,87.68,88.5,83.24,3732.32847998
2013-07-03,btcusd,89.0,77.402,89.56,75.0,8688.24345300004
2013-07-04,btcusd,77.33,79.4,82.0,70.04,7081.44839216002
2013-07-05,btcusd,79.4,67.0,79.4,64.0,13816.96117611
2013-07-06,btcusd,67.0,66.12,73.26,62.94,10426.96530785
2013-07-07,btcusd,66.12,73.98,74.07786,64.89,4403.96884005
2013-07-08,btcusd,73.96,74.35,77.0,70.0,8789.76770627001
2013-07-09,btcusd,73.85,74.98,76.01,70.47,7041.32536101
2013-07-10,btcusd,74.93,86.12,87.0,74.83,10374.85241819
2013-07-11,btcusd,86.12,88.0,89.23,84.0,7510.96612628002
2013-07-12,btcusd,87.81,90.2,101.39,86.64,15077.5410866301
2013-07-13,btcusd,90.17,91.6,91.95,85.0,4116.22796884997
2013-07-14,btcusd,91.69,90.07,93.0,88.88,2380.35140134999
2013-07-15,btcusd,89.011,93.94,99.83,82.45,5898.45713615004
2013-07-16,btcusd,93.75,91.6,94.0,84.7,2092.35853054
2013-07-17,btcusd,91.58,91.48,92.8,89.22,2046.72746749
2013-07-18,btcusd,90.85,85.27,91.23,77.0,7708.73483260006
2013-07-19,btcusd,85.01,86.53,87.1,83.4,4794.18316172001
2013-07-20,btcusd,86.5,85.0,87.2,84.27,1301.92237319
2013-07-21,btcusd,85.09,85.79,86.4,84.0,2113.51241199
2013-07-22,btcusd,85.77,85.6,87.1,83.99,1354.67793009
2013-07-23,btcusd,85.55,86.95,88.67,82.99,3368.91523392999
2013-07-24,btcusd,86.95,88.36,95.68,86.46,1618.34266729
2013-07-25,btcusd,88.42,90.24,91.99899,87.15,3345.36886326999
2013-07-26,btcusd,90.09,89.95,91.72,89.2,973.533901570004
2013-07-27,btcusd,89.95,88.02,90.11,87.8,1427.28403652
2013-07-28,btcusd,88.02,92.46,94.0,87.92,3411.06759993999
2013-07-29,btcusd,92.01,93.37,93.73,90.54,2712.34032741
2013-07-30,btcusd,93.01,96.5,97.11,92.7,3558.87774625
2013-07-31,btcusd,96.68,98.18,101.03,95.1,5708.72022212001
2013-08-01,btcusd,97.99,96.55,98.50297,95.21,3534.33334448
2013-08-02,btcusd,96.55,95.85,98.7,93.75,5444.95317152999
2013-08-03,btcusd,95.82,95.49,97.23,94.67,2406.7126632
2013-08-04,btcusd,95.5,96.38,96.7,95.5,1011.16940019
